size,FT,Context,tokens gen,cost,cost-micro-dollars,latency,accuracy
27,0,0,120,0.000012,12,3.428571429,55.3
27,0,1,120,0.000112,112,3.728571429,60
27,1,0,120,0.001312,1312,3.428571429,59.9
27,1,1,120,0.001412,1412,3.728571429,74.7
27,0,0,300,0.00003,30,8.571428571,58.4
27,0,1,300,0.00013,130,8.871428571,68.4
27,1,0,300,0.00133,1330,8.571428571,61.7
27,1,1,300,0.00143,1430,8.871428571,77.4
27,0,0,1500,0.00015,150,8.571428571,61.2
27,0,1,1500,0.00025,250,8.871428571,70.1
27,1,0,1500,0.00145,1450,8.571428571,76.8
27,1,1,1500,0.00155,1550,8.871428571,75.2
27,0,0,492,0.0000492,49.2,14.05714286,62.1
27,0,1,492,0.0001492,149.2,14.35714286,72.1
27,1,0,492,0.0013492,1349.2,14.05714286,58.1
27,1,1,492,0.0014492,1449.2,14.35714286,76.1
27,0,0,684,0.0000684,68.4,19.54285714,63.8
27,0,1,684,0.0001684,168.4,19.84285714,72.2
27,1,0,684,0.0013684,1368.4,19.54285714,65.1
27,1,1,684,0.0014684,1468.4,19.84285714,74.4
27,0,0,1068,0.0001068,106.8,30.51428571,64.2
27,0,1,1068,0.0002068,206.8,30.81428571,71.1
27,1,0,1068,0.0014068,1406.8,30.51428571,75.1
27,1,1,1068,0.0015068,1506.8,30.81428571,73
27,0,0,1452,0.0001452,145.2,41.48571429,65.4
27,0,1,1452,0.0002452,245.2,41.78571429,68.9
27,1,0,1452,0.0014452,1445.2,41.48571429,77.3
27,1,1,1452,0.0015452,1545.2,41.78571429,71.6
27,0,0,1836,0.0001836,183.6,52.45714286,66.8
27,0,1,1836,0.0002836,283.6,52.75714286,61.3
27,1,0,1836,0.0014836,1483.6,52.45714286,80.1
27,1,1,1836,0.0015836,1583.6,52.75714286,70.1
4,0,0,120,0.0000036,3.6,0.6,44.1
4,0,1,120,0.0001036,103.6,0.9,60.3
4,1,0,120,0.0013036,1303.6,0.6,47.2
4,1,1,120,0.0014036,1403.6,0.9,73.1
4,0,0,300,0.000009,9,1.5,40.2
4,0,1,300,0.000109,109,1.8,64.7
4,1,0,300,0.001309,1309,1.5,46.6
4,1,1,300,0.001409,1409,1.8,56.2
4,0,0,1500,0.000045,45,7.5,41.7
4,0,1,1500,0.000145,145,7.8,70.1
4,1,0,1500,0.001345,1345,7.5,49.2
4,1,1,1500,0.001445,1445,7.8,74.3
4,0,0,492,0.00001476,14.76,2.46,45.5
4,0,1,492,0.00011476,114.76,2.76,76
4,1,0,492,0.00131476,1314.76,2.46,48
4,1,1,492,0.00141476,1414.76,2.76,75.2
4,0,0,684,0.00002052,20.52,3.42,48.7
4,0,1,684,0.00012052,120.52,3.72,74.3
4,1,0,684,0.00132052,1320.52,3.42,49.7
4,1,1,684,0.00142052,1420.52,3.72,76.5
4,0,0,1068,0.00003204,32.04,5.34,51.7
4,0,1,1068,0.00013204,132.04,5.64,66.7
4,1,0,1068,0.00133204,1332.04,5.34,50.1
4,1,1,1068,0.00143204,1432.04,5.64,71.3
4,0,0,1452,0.00004356,43.56,7.26,49.3
4,0,1,1452,0.00014356,143.56,7.56,65.1
4,1,0,1452,0.00134356,1343.56,7.26,50.1
4,1,1,1452,0.00144356,1443.56,7.56,64.5
4,0,0,1836,0.00005508,55.08,9.18,49.1
4,0,1,1836,0.00015508,155.08,9.48,65.3
4,1,0,1836,0.00135508,1355.08,9.18,50.6
4,1,1,1836,0.00145508,1455.08,9.48,63.8
1,0,0,120,0.0000012,1.2,0.4,34.6
1,0,1,120,0.0001012,101.2,0.7,58.5
1,0,0,300,0.000003,3,1,27.7
1,0,1,300,0.000103,103,1.3,58.6
1,0,0,1500,0.000015,15,5,27.3
1,0,1,1500,0.000115,115,5.3,63.1
1,0,0,492,0.00000492,4.92,1.64,37.1
1,0,1,492,0.00010492,104.92,1.94,67.3
1,0,0,684,0.00000684,6.84,2.28,37.9
1,0,1,684,0.00010684,106.84,2.58,60.7
1,0,0,1068,0.00001068,10.68,3.56,41.4
1,0,1,1068,0.00011068,110.68,3.86,57.6
1,0,0,1452,0.00001452,14.52,4.84,44.6
1,0,1,1452,0.00011452,114.52,5.14,60
1,0,0,1836,0.00001836,18.36,6.12,46.2
1,0,1,1836,0.00011836,118.36,6.42,59